epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.216,1.02741,2.0086,1.28377,0.00606,0.73438,0.37517,0.25682,0.87365,3.09892,1.06322,0.00031,0.00031,0.06931
2,100.685,1.01461,1.44486,1.29469,0.9631,0.20629,0.57806,0.41957,0.7753,2.86137,1.05585,0.000629893,0.000629893,0.0376299
3,149.251,0.98543,1.16742,1.24454,0.87043,0.55037,0.86058,0.60414,0.8373,1.8074,1.12382,0.000949356,0.000949356,0.00594936
4,209.314,0.97953,1.22842,1.27743,0.69412,0.72684,0.86545,0.58627,0.87155,1.40687,1.17953,0.000998474,0.000998474,0.000998474
5,270.558,0.97512,1.12652,1.25655,0.90363,0.76798,0.89349,0.63942,0.93016,1.16776,1.19439,0.000997288,0.000997288,0.000997288
6,323.565,0.96252,1.05898,1.25461,0.87233,0.86926,0.91964,0.67896,0.84478,1.12028,1.12129,0.000995765,0.000995765,0.000995765
7,381.328,0.9074,1.04442,1.20613,0.87928,0.88728,0.91267,0.64246,0.93885,1.08682,1.168,0.000993906,0.000993906,0.000993906
8,442.76,0.91442,0.97453,1.17692,0.89634,0.80375,0.91248,0.67245,0.70851,0.99758,1.06334,0.000991711,0.000991711,0.000991711
9,496.559,0.92967,0.96484,1.19708,0.94033,0.79967,0.89474,0.63814,0.9547,0.92883,1.17382,0.000989183,0.000989183,0.000989183
10,545.755,0.87965,0.89837,1.16045,0.92253,0.85032,0.90702,0.65576,0.8489,0.90735,1.11475,0.000986323,0.000986323,0.000986323
11,592.496,0.86802,0.86951,1.1568,0.94206,0.87715,0.94663,0.68137,0.84474,0.8667,1.09018,0.000983133,0.000983133,0.000983133
12,639.916,0.8802,0.89712,1.14611,0.88487,0.87174,0.92592,0.66232,0.89825,0.8351,1.11202,0.000979616,0.000979616,0.000979616
13,686.773,0.884,0.83534,1.17745,0.90396,0.80361,0.87609,0.61275,0.97328,0.91694,1.17807,0.000975773,0.000975773,0.000975773
14,732.876,0.81265,0.83811,1.11394,0.85116,0.891,0.92701,0.6801,0.95204,0.81995,1.15169,0.000971608,0.000971608,0.000971608
15,778.849,0.85374,0.79191,1.15865,0.91398,0.89161,0.92761,0.68069,0.89922,0.72083,1.14233,0.000967122,0.000967122,0.000967122
16,825.567,0.90167,0.76602,1.16969,0.92049,0.88472,0.94145,0.67038,0.97319,0.74712,1.12169,0.00096232,0.00096232,0.00096232
17,872.412,0.87169,0.79144,1.14743,0.89187,0.91493,0.92334,0.66425,0.82678,0.75429,1.07415,0.000957205,0.000957205,0.000957205
18,918.983,0.90584,0.79003,1.19434,0.87285,0.89059,0.91327,0.64729,0.95528,0.79107,1.13458,0.00095178,0.00095178,0.00095178
19,965.76,0.8035,0.74192,1.10963,0.88508,0.91244,0.94005,0.68042,0.81583,0.73268,1.10022,0.000946048,0.000946048,0.000946048
20,1012.8,0.79917,0.7273,1.11227,0.89621,0.86803,0.92869,0.68038,0.8742,0.73243,1.10053,0.000940014,0.000940014,0.000940014
21,1059.99,0.81342,0.70233,1.11171,0.98666,0.85476,0.92186,0.65217,0.94095,0.70924,1.13212,0.000933683,0.000933683,0.000933683
22,1107.29,0.78466,0.70186,1.09073,0.898,0.89283,0.92043,0.66414,0.86606,0.71651,1.11004,0.000927057,0.000927057,0.000927057
23,1154.08,0.86087,0.71742,1.14986,0.97521,0.85257,0.92721,0.65072,0.91501,0.71614,1.12023,0.000920142,0.000920142,0.000920142
24,1202.53,0.84372,0.7145,1.138,0.91311,0.84518,0.92856,0.66935,0.85503,0.69288,1.08615,0.000912942,0.000912942,0.000912942
25,1255.4,0.79278,0.66682,1.09689,0.91767,0.88268,0.91337,0.64297,0.9335,0.68761,1.15043,0.000905463,0.000905463,0.000905463
