epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.9711,0.88328,2.21624,1.17502,0.96808,0.50676,0.80392,0.62855,0.77197,2.67383,1.03605,0.000411647,0.000411647,0.000411647
2,96.8886,0.88631,1.13643,1.1885,0.9309,0.79852,0.86584,0.64845,0.80514,0.9667,1.20807,0.000800979,0.000800979,0.000800979
3,143.851,0.88376,1.04244,1.17226,0.77486,0.81839,0.85637,0.6404,0.84036,0.98877,1.21217,0.00116281,0.00116281,0.00116281
4,190.182,0.88303,0.96419,1.18827,0.91344,0.83507,0.87713,0.66268,0.74744,0.89424,1.15064,0.00112625,0.00112625,0.00112625
5,236.587,0.8408,0.92086,1.17662,0.8872,0.83899,0.86825,0.66924,0.76541,0.79614,1.15163,0.001085,0.001085,0.001085
6,283.02,0.80545,0.85229,1.14233,0.89163,0.85285,0.87493,0.6587,0.75372,0.71769,1.16169,0.00104375,0.00104375,0.00104375
7,330.257,0.80477,0.80711,1.13922,0.91314,0.86863,0.89811,0.67748,0.74944,0.72106,1.15315,0.0010025,0.0010025,0.0010025
8,376.323,0.8056,0.7891,1.16444,0.84961,0.83776,0.88834,0.69002,0.73015,0.77185,1.15187,0.00096125,0.00096125,0.00096125
9,422.484,0.79411,0.78672,1.15144,0.85285,0.81518,0.83291,0.63437,0.73999,0.69982,1.14325,0.00092,0.00092,0.00092
10,469.213,0.75461,0.71597,1.10419,0.93612,0.87081,0.91698,0.7299,0.69132,0.62245,1.11167,0.00087875,0.00087875,0.00087875
11,515.575,0.74506,0.7124,1.09924,0.95021,0.88029,0.92645,0.74673,0.69347,0.59821,1.10046,0.0008375,0.0008375,0.0008375
12,563.239,0.75778,0.69123,1.11501,0.87305,0.89102,0.90751,0.71753,0.70397,0.59519,1.12697,0.00079625,0.00079625,0.00079625
13,611.055,0.72359,0.66933,1.08208,0.94544,0.85443,0.91086,0.74375,0.67257,0.56503,1.09739,0.000755,0.000755,0.000755
14,658.059,0.71571,0.63195,1.08271,0.93285,0.88538,0.92062,0.73545,0.71661,0.54926,1.09841,0.00071375,0.00071375,0.00071375
15,705.026,0.72007,0.60894,1.08386,0.93298,0.89711,0.92572,0.75187,0.68534,0.53874,1.10924,0.0006725,0.0006725,0.0006725
16,752.507,0.72489,0.63586,1.08547,0.92915,0.88892,0.92596,0.74344,0.69522,0.53542,1.11599,0.00063125,0.00063125,0.00063125
17,800.163,0.70986,0.60204,1.08406,0.89236,0.86681,0.90605,0.72473,0.68516,0.55746,1.09631,0.00059,0.00059,0.00059
18,847.021,0.69221,0.58303,1.07482,0.95515,0.87183,0.92291,0.73969,0.69498,0.52165,1.10017,0.00054875,0.00054875,0.00054875
19,893.55,0.70753,0.58301,1.07127,0.92971,0.89732,0.92795,0.75211,0.67309,0.49855,1.09464,0.0005075,0.0005075,0.0005075
20,940.458,0.6618,0.55535,1.05234,0.91975,0.88418,0.92574,0.76624,0.65189,0.49018,1.06928,0.00046625,0.00046625,0.00046625
21,988.29,0.65636,0.57046,1.07279,0.94145,0.8556,0.94398,0.7728,0.67205,0.53035,1.07392,0.000425,0.000425,0.000425
22,1033.55,0.63713,0.52983,1.0547,0.93925,0.89186,0.93337,0.7568,0.65573,0.48657,1.06917,0.00038375,0.00038375,0.00038375
23,1078.82,0.62552,0.52323,1.05776,0.9691,0.88131,0.92896,0.75212,0.6789,0.48744,1.09822,0.0003425,0.0003425,0.0003425
24,1124.16,0.62415,0.525,1.05526,0.95561,0.8903,0.92892,0.7524,0.66032,0.46635,1.07589,0.00030125,0.00030125,0.00030125
25,1170.6,0.59653,0.49123,1.03001,0.94143,0.8876,0.9383,0.76752,0.65805,0.47104,1.07433,0.00026,0.00026,0.00026
26,1216.44,0.58897,0.4791,1.02863,0.94313,0.88567,0.92406,0.75534,0.66091,0.46518,1.06712,0.00021875,0.00021875,0.00021875
27,1261.76,0.58225,0.45995,1.01993,0.94794,0.89149,0.92824,0.77119,0.6331,0.43938,1.05779,0.0001775,0.0001775,0.0001775
28,1301.61,0.57252,0.45232,1.01658,0.94962,0.87393,0.93192,0.76417,0.63166,0.45145,1.06682,0.00013625,0.00013625,0.00013625
29,1346.03,0.56548,0.44695,1.01232,0.95356,0.88162,0.93107,0.76867,0.63255,0.43788,1.06632,9.5e-05,9.5e-05,9.5e-05
30,1390.42,0.55263,0.43635,1.00403,0.95576,0.88363,0.93064,0.76357,0.63819,0.43658,1.0688,5.375e-05,5.375e-05,5.375e-05
